"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"mu[1]",99.280763042,99.2795,99.3969472787837,31421.3,0.95,95.7684,102.807,NA,NA,NA,NA,NA,NA,NA
"mu[2]",107.134002518,107.144,106.947778686204,29556.8,0.95,101.958,112.56,NA,NA,NA,NA,NA,NA,NA
"muDiff",7.853239476,7.83925,7.47268136896315,29583.8,0.95,1.604,14.3548,0,99.228,-0.5,0.5,0.534,0.707999999999998,98.758
"sigma[1]",11.328830431,11.2043,11.0851784301963,13485.5,0.95,8.12175,14.7724,NA,NA,NA,NA,NA,NA,NA
"sigma[2]",17.959732208,17.84255,17.933162696175,13045.3,0.95,12.785,23.3448,NA,NA,NA,NA,NA,NA,NA
"sigmaDiff",6.630901777,6.54835,6.12684054810333,24708.8,0.95,1.1519,12.09682,0,99.316,-0.5,0.5,0.364,0.75,98.886
"nu",3.8861075816,3.50953,3.02000490022121,5199.3,0.95,1.61347,6.98072,NA,NA,NA,NA,NA,NA,NA
"log10(nu)",0.558965615358415,0.545248959178089,0.530129708509417,7927.3,0.95,0.26661500527871,0.871303168915257,NA,NA,NA,NA,NA,NA,NA
"effSz",0.529494615818657,0.525764815881226,0.502700710075312,26146,0.95,0.102465445407762,0.99070893477758,0,99.228,-0.1,0.1,0.184,2.44800000000001,97.368
