"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"beta1[20]",3.2900211962659,3.22785,3.18231231670572,16171.9,0.95,1.01271,5.83559,NA,NA,NA,NA,NA,NA,NA
"beta1[21]",3.683068088505,3.563065,3.29558221177748,11106.9,0.95,1.80499,5.93459,NA,NA,NA,NA,NA,NA,NA
"beta1[22]",3.6808368573,3.55726,3.32755307576779,12730.3,0.95,1.79217,5.88313,NA,NA,NA,NA,NA,NA,NA
"beta1[23]",3.85413255995,3.783575,3.47203621632491,8341,0.95,2.29296,5.65758,NA,NA,NA,NA,NA,NA,NA
"beta1[24]",2.5567669384473,2.67492,3.01140983184305,13727.7,0.95,0.265345,4.64118,NA,NA,NA,NA,NA,NA,NA
"beta1[25]",2.4627021300282,2.596395,2.93410654536548,12052.4,0.95,0.0829662,4.49631,NA,NA,NA,NA,NA,NA,NA
"beta0mu",-55.8960039881767,-55.9718,-57.1452390110407,9861.6,0.95,-117.792,6.9585,NA,NA,NA,NA,NA,NA,NA
"beta1mu",3.155081271,3.15673,3.1973314653996,9498.7,0.95,2.22808,4.06193,NA,NA,NA,NA,NA,NA,NA
"zbeta0[1]",0.762940839124,0.7615355,0.753708102428244,19488.8,0.95,0.245634,1.26693,NA,NA,NA,NA,NA,NA,NA
"zbeta0[2]",1.17153319513,1.17406,1.18693099882954,14611.6,0.95,0.675879,1.65816,NA,NA,NA,NA,NA,NA,NA
"zbeta0[3]",-0.639011957488725,-0.642395,-0.686843720241228,15083.2,0.95,-1.21927,-0.100902,NA,NA,NA,NA,NA,NA,NA
"zbeta0[4]",0.74083214137605,0.742581,0.735245779895711,20000,0.95,-0.0394815,1.52911,NA,NA,NA,NA,NA,NA,NA
"zbeta0[5]",-0.67294823368732,-0.6748795,-0.703353015203997,19259,0.95,-1.29423,-0.0529328,NA,NA,NA,NA,NA,NA,NA
"zbeta0[6]",-2.15428675095,-2.135775,-2.09360162715945,8867.2,0.95,-2.92598,-1.39896,NA,NA,NA,NA,NA,NA,NA
"zbeta0[7]",-0.067418287922265,-0.0684296,-0.0440472201399371,20000,0.95,-0.779445,0.641999,NA,NA,NA,NA,NA,NA,NA
"zbeta0[8]",-0.131555211374211,-0.131622,-0.129615248625709,20000,0.95,-0.628318,0.382274,NA,NA,NA,NA,NA,NA,NA
"zbeta0[9]",-0.4939887852341,-0.494312,-0.482618070110156,19550.5,0.95,-0.999069,0.013656,NA,NA,NA,NA,NA,NA,NA
"zbeta0[10]",-1.239871992825,-1.242295,-1.24027727117393,17078.3,0.95,-1.79211,-0.694983,NA,NA,NA,NA,NA,NA,NA
"zbeta0[11]",0.8219221269675,0.822079,0.827290325249536,18489.6,0.95,0.291386,1.35174,NA,NA,NA,NA,NA,NA,NA
"zbeta0[12]",-0.389852260007197,-0.390594,-0.366980381604862,19393.2,0.95,-0.969785,0.236935,NA,NA,NA,NA,NA,NA,NA
"zbeta0[13]",1.436970137535,1.43375,1.39444362141346,16767.2,0.95,0.69956,2.16695,NA,NA,NA,NA,NA,NA,NA
"zbeta0[14]",1.114805484654,1.113435,1.08655750397812,17873.7,0.95,0.570699,1.6815,NA,NA,NA,NA,NA,NA,NA
"zbeta0[15]",0.264906999501505,0.263252,0.263292219498057,20000,0.95,-0.536293,1.12746,NA,NA,NA,NA,NA,NA,NA
"zbeta0[16]",0.40456814352875,0.404953,0.383604074061099,20000,0.95,-0.107724,0.921234,NA,NA,NA,NA,NA,NA,NA
"zbeta0[17]",0.02657388562046,0.0272893,0.055486365074038,20000,0.95,-0.378302,0.421476,NA,NA,NA,NA,NA,NA,NA
"zbeta0[18]",-0.7704906602305,-0.7721225,-0.805937612088261,18698.5,0.95,-1.18252,-0.367353,NA,NA,NA,NA,NA,NA,NA
"zbeta0[19]",0.343039013881335,0.3466045,0.398999008366713,20000,0.95,-0.521509,1.2422,NA,NA,NA,NA,NA,NA,NA
