"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"theta[1]",0.66649045993479,0.675497891494254,0.680078945470934,50335.9,0.95,0.410763567007251,0.905903964164775,NA,NA,NA,NA,NA,NA,NA
"theta[2]",0.363732627148093,0.354865701729133,0.337412272814931,50000,0.95,0.107482856156129,0.635450589201914,NA,NA,NA,NA,NA,NA,NA
"theta[1]-theta[2]",0.302757832786697,0.311297053023617,0.347886378719393,50000,0.95,-0.0720722581503369,0.667268067196413,0,93.602,NA,NA,NA,NA,NA
